Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Bedrooms,Bathrooms,Longitude,Latitude,Price(Php)
"Catalunan Pequeno, Davao",House,"House,single-family-house",464.0,380.0,6.0,3.0,125.5237999,7.0743578,25000000.0
"Cuayan, Angeles",House,"House,single-family-house",154.0,200.0,3.0,3.0,120.579214,15.13943,14200000.0
"Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",60.88000000000005,134.5,3.0,4.0,121.050318,14.540867,36600000.0
"Pacdal, Baguio",House,"House,townhouse",160.0,350.0,7.0,4.0,120.619739,16.42835,15000000.0
"Inarawan, Antipolo",House,"House,single-family-house",240.0,180.0,3.0,3.0,121.240436,14.670622,14500000.0
"Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",292.6,300.0,3.0,3.0,121.050318,14.540867,105000000.0
"Barangka Ilaya, Mandaluyong",Condominium,"Condominium,double-bedroom",92.00000000000006,52.0,2.0,2.0,121.04641,14.571338,9209201.0
"Buayang Bato, Mandaluyong",Condominium,"Condominium,studio",43.60000000000002,24.0,1.0,1.0,121.051068,14.569686,4320129.0
"Merville, Paranaque",Condominium,"Condominium,studio",67.19999999999993,32.5,1.0,1.0,121.0366406,14.49966341,6600000.0
"Maharlika, Quezon City",Land,"Land,residential-lot",800.0,584.0,4.8,5.0,120.996952,14.633569,110503536.64125
"Cogon Ramos, Cebu",Condominium,"Condominium,single-bedroom",72.0,40.5,1.0,1.0,123.883279,10.3380996,8900000.0
"Cubao, Quezon City",Land,"Land,residential-lot",600.0,538.0,5.6,6.0,121.0572,14.61777,78000000.0
"Cuayan, Angeles",House,"House,single-family-house",154.0,200.0,4.0,4.0,120.579214,15.13943,13500000.0
"Dapdap East, Tagaytay",Land,"Land,agricutural-lot",1215.5,728.0,7.0,7.199999999999999,121.0291993,14.1558352,110503536.64125
"Santa Cruz, Ronda",Land,"Land,residential-lot",100.0,113.0,3.5999999999999996,1.7999999999999998,123.4146169,10.0180937,500000.0
"Canlubang, Calamba",Land,"Land,residential-lot",351.0,658.0,6.6,7.800000000000001,121.0533622,14.1857173,10881000.0
"Laiya-Ibabao, San Juan",Land,"Land,residential-lot",286.0,419.8,3.4,3.8,121.422891,13.673186,9581000.0
"Communal, Davao",House,"House,single-family-house",80.0,77.66999999999999,4.0,3.0,125.6287105,7.1418209,4426480.59
"Pallocan Kanluran, Batangas City",House,"House,villas",120.0,75.0,3.0,2.0,121.0703122,13.7559187,4925000.0
"Pallocan Silangan, Batangas City",Condominium,"Condominium,single-bedroom",71.99999999999994,41.20000000000002,1.0,1.0,121.0799614,13.752805,5562000.0
"Pallocan Silangan, Batangas City",House,"House,villas",220.0,220.0,3.0,4.0,121.0799614,13.752805,17500000.0
"Tibig, Lipa",Condominium,"Condominium,double-bedroom",93.0,40.25999999999999,2.0,1.0,121.2079656,13.9504093,6541000.0
"Inosloban, Lipa",Land,"Land,residential-lot",487.0,350.0,4.0,4.0,121.1701226,13.9775271,14034172.0
"San Antonio, San Pedro",House,"House,single-family-house",100.0,80.0,3.0,2.0,121.0433415,14.3669314,6000000.0
"Catmon, Malabon",Commercial,"Commercial,warehouse",1215.5,684.0,5.2,5.4,120.9602737,14.6696392,38000000.0
"Cay Pombo, Santa Maria",House,"House,townhouse",44.0,38.400000000000006,2.0,1.0,120.9778775,14.8531313,1380000.0
"Kaunlaran, Quezon City",Condominium,"Condominium,double-bedroom",194.0,153.0,2.0,2.0,121.04641,14.617893,32000000.0
"San Antonio, Santo Tomas",Condominium,"Condominium,double-bedroom",72.39999999999998,50.0,2.0,1.0,121.161986,14.121415,2744000.0
"San Jose, Rodriguez",House,"House,townhouse",36.0,44.0,2.0,1.0,121.136064,14.751305,1933000.0
"San Jose, Rodriguez",House,"House,townhouse",87.0,44.0,2.0,1.0,121.136064,14.751305,3137000.0
"San Jose, Rodriguez",House,"House,townhouse",88.0,44.0,2.0,1.0,121.1324148,14.74310662,3157000.0
"Iruhin South, Tagaytay",House,"House,single-family-house",240.0,130.0,3.0,3.0,121.0077105,14.1272957,11000000.0
"Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",255.054,290.0,3.0,5.0,121.050318,14.540867,95000000.0
"Fort Bonifacio, Taguig",Commercial,"Commercial,offices",5.684341886080802e-14,735.0,7.0,8.500000000000002,121.050318,14.540867,110503536.64125
"Fort Bonifacio, Taguig",Commercial,"Commercial,offices",5.684341886080802e-14,150.0,2.0,2.2,121.050318,14.540867,41500000.0
"Don Galo, Paranaque",Condominium,"Condominium,double-bedroom",50.400000000000034,97.0,2.0,2.0,120.9798055,14.50599261,19500000.0
"Cuayan, Angeles",House,"House,single-family-house",176.0,211.0,4.0,4.0,120.579214,15.13943,13000000.0
